name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"pepp0418","Player's Edge Plus (PP0418) Deuces Wild Poker","1987","IGT - International Game Technology","pepp0054","pepp0054",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0419a","Player's Edge Plus (PP0419) Standard Draw Poker (Old Chicago Casino)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0419","Player's Edge Plus (PP0419) Standard Draw Poker (set 1)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0419b","Player's Edge Plus (PP0419) Standard Draw Poker (set 2)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0420","Player's Edge Plus (PP0420) Standard Draw Poker","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0423","Player's Edge Plus (PP0423) Standard Draw Poker (set 1)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0423a","Player's Edge Plus (PP0423) Standard Draw Poker (set 2)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0423b","Player's Edge Plus (PP0423) Standard Draw Poker (set 3)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0423c","Player's Edge Plus (PP0423) Standard Draw Poker (set 4)","1987","IGT - International Game Technology","pepp0001","pepp0001",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0426","Player's Edge Plus (PP0426) Joker Poker","1987","IGT - International Game Technology","pepp0048","pepp0048",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0428","Player's Edge Plus (PP0428) Joker Poker","1987","IGT - International Game Technology","pepp0048","pepp0048",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0429","Player's Edge Plus (PP0429) Joker Poker (Aces or Better, set 1)","1987","IGT - International Game Technology","pepp0048","pepp0048",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0429a","Player's Edge Plus (PP0429) Joker Poker (Aces or Better, set 2)","1987","IGT - International Game Technology","pepp0048","pepp0048",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0430","Player's Edge Plus (PP0430) Deuces Joker Wild Poker","1987","IGT - International Game Technology","pepp0127","pepp0127",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
"pepp0431","Player's Edge Plus (PP0431) Deuces Joker Wild Poker (International)","1987","IGT - International Game Technology","pepp0127","pepp0127",-,YES,NO,NO,NO,NO,peplus.cpp,BUONO,RASTER,"0",320,200,HORIZONTAL,peplus.cpp
