name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
"mks70","MKS-70 Super JX Polyphonic Synthesizer","1987",Roland,"jx10","jx10",-,YES,NO,NO,NO,NO,"roland_jx8p.cpp",PRELIMINARE,-,"0",0,0,-,"roland_jx8p.cpp"
"mmt8","MMT-8","1987",Alesis,-,-,-,YES,NO,NO,NO,NO,alesis.cpp,PRELIMINARE,LCD,"0",96,18,HORIZONTAL,alesis.cpp
monomach,"Monomachine SFX6 MK2","2004",Elektron,-,-,-,YES,NO,NO,NO,NO,elektronmono.cpp,PRELIMINARE,-,"0",0,0,-,elektronmono.cpp
"mpc3000","MPC-3000","1994","Akai / Roger Linn",-,-,-,YES,NO,NO,NO,NO,"mpc3000.cpp",PRELIMINARE,LCD,"0",240,64,HORIZONTAL,"mpc3000.cpp"
"mpc60","MPC60 MIDI Production Center","1987","Akai Electric",-,-,-,YES,NO,NO,NO,NO,"mpc60.cpp",PRELIMINARE,LCD,"0",240,64,HORIZONTAL,"mpc60.cpp"
"mr61","MR-61 Workstation","1996",Ensoniq,-,-,-,YES,NO,NO,NO,NO,esqmr.cpp,PRELIMINARE,-,"0",0,0,-,esqmr.cpp
mrrack,MR-Rack,"1996",Ensoniq,-,-,-,YES,NO,NO,NO,NO,esqmr.cpp,PRELIMINARE,-,"0",0,0,-,esqmr.cpp
"mt32","MT-32","1987",Roland,-,-,-,YES,NO,NO,NO,NO,"roland_mt32.cpp",PRELIMINARE,LCD,"0",119,89,HORIZONTAL,"roland_mt32.cpp"
"mu5","MU-5","1994",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymmu5.cpp",PRELIMINARE,SVG,"0",800,435,HORIZONTAL,"ymmu5.cpp"
"mu100","MU100","1997",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymmu100.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"ymmu100.cpp"
"mu100r","MU100 Rackable version","1997",Yamaha,"mu100","mu100",-,YES,NO,NO,NO,NO,"ymmu100.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"ymmu100.cpp"
"mu100b","MU100B","1998",Yamaha,"mu100","mu100",-,YES,NO,NO,NO,NO,"ymmu100.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"ymmu100.cpp"
"mu50","MU50","1995",Yamaha,-,-,-,YES,NO,NO,NO,NO,"ymmu50.cpp",PRELIMINARE,SVG,"0",1280,386,HORIZONTAL,"ymmu50.cpp"
