name,description,year,manufacturer,romof,cloneof,sampleof,is_runnable,is_device,is_bios,is_mechanical,use_chds,driver,driver_status,display_type,display_rotate,display_width,display_height,display_orientation,sourcefile
mayjinsn,Mayjinsen,"1994",Seta,-,-,-,YES,NO,NO,NO,NO,"simple_st0016.cpp",PRELIMINARE,RASTER,"0",384,384,HORIZONTAL,"simple_st0016.cpp"
"mayjisn2","Mayjinsen 2","1994",Seta,-,-,-,YES,NO,NO,NO,NO,"simple_st0016.cpp",BUONO,RASTER,"0",384,384,HORIZONTAL,"simple_st0016.cpp"
"mayjin3","Mayjinsen 3","2000","Seta / Able Corporation","aleck64",-,-,YES,NO,NO,NO,NO,"aleck64.cpp",INCOMPLETO,RASTER,"0",640,240,HORIZONTAL,"aleck64.cpp"
mmehyou,"Medal Mahjong Circuit no Mehyou [BET] (Japan)","1992","Nichibutsu / Kawakusu",-,-,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
mjgottub,"Medal Mahjong Gottsu ee-kanji [BET] (Japan)","1991",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8991.cpp",BUONO,RASTER,"180",640,240,HORIZONTAL,"nbmj8991.cpp"
mjanbari,"Medal Mahjong Janjan Baribari [BET] (Japan)","1992","Nichibutsu / Yubis / AV Japan",janbari,janbari,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
mmmbanc,"Medal Mahjong Moukari Bancho (2007/06/05 MASTER VER.)","2007","Cave (AMI license)",-,-,-,YES,NO,NO,NO,NO,"cv1k.cpp",PRELIMINARE,RASTER,"0",320,240,HORIZONTAL,"cv1k.cpp"
pachiten,"Medal Mahjong Pachi-Slot Tengoku [BET] (Japan)","1993","Nichibutsu / AV Japan / Miki Syouji",-,-,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
meijinsn,"Meijinsen (set 1)","1986",SNK,-,-,-,YES,NO,NO,NO,NO,meijinsn.cpp,BUONO,RASTER,"0",232,224,HORIZONTAL,meijinsn.cpp
meijinsna,"Meijinsen (set 2)","1986",SNK,meijinsn,meijinsn,-,YES,NO,NO,NO,NO,meijinsn.cpp,BUONO,RASTER,"0",232,224,HORIZONTAL,meijinsn.cpp
menghong,"Meng Hong Lou","2004?",Sealy,-,-,-,YES,NO,NO,NO,NO,menghong.cpp,PRELIMINARE,RASTER,"0",320,240,HORIZONTAL,menghong.cpp
minasan,"Minasan no Okagesamadesu! Dai Sugoroku Taikai (MOM-001 ~ MOH-001)","1990","Monolith Corp.",neogeo,-,-,YES,NO,NO,NO,NO,neogeo.cpp,BUONO,RASTER,"0",320,224,HORIZONTAL,neogeo.cpp
mirage,"Mirage Youjuu Mahjongden (Japan)","1994",Mitchell,-,-,-,YES,NO,NO,NO,NO,mirage.cpp,BUONO,RASTER,"0",320,240,HORIZONTAL,mirage.cpp
mcontest,"Miss Mahjong Contest (Japan)","1989",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8991.cpp",BUONO,RASTER,"180",640,240,HORIZONTAL,"nbmj8991.cpp"
musobana,"Musoubana (Japan)","1995","Nichibutsu / Yubis",-,-,-,YES,NO,NO,NO,NO,niyanpai.cpp,BUONO,RASTER,"0",640,240,HORIZONTAL,niyanpai.cpp
natsuiro,"Natsuiro Mahjong (Japan)","1989","Video System Co.",mjnatsu,mjnatsu,-,YES,NO,NO,NO,NO,fromance.cpp,BUONO,RASTER,"0",352,240,HORIZONTAL,fromance.cpp
ngpgal,"Nekketsu Grand-Prix Gal (Japan)","1991",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj9195.cpp",BUONO,RASTER,"0",640,240,HORIZONTAL,"nbmj9195.cpp"
nmsengen,"Nekketsu Mahjong Sengen! AFTER 5 (Japan)","1991","Video System Co.",-,-,-,YES,NO,NO,NO,NO,fromance.cpp,BUONO,RASTER,"0",352,240,HORIZONTAL,fromance.cpp
janputer,"New Double Bet Mahjong (bootleg of Royal Mahjong) [BET]","1981","bootleg (Paradise Denshi Ltd. / Mes)",-,-,-,YES,NO,NO,NO,NO,royalmah.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
ngtbunny,"Night Bunny (Japan 840601 MRN 2-10)","1984",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,nightgal.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,nightgal.cpp
nightgal,"Night Gal (Japan 840920 AG 1-00)","1984",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,nightgal.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,nightgal.cpp
ngalsumr,"Night Gal Summer [BET] (Japan 850702 NGS 0-01)","1985",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,nightgal.cpp,INCOMPLETO,RASTER,"0",256,224,HORIZONTAL,nightgal.cpp
nightlov,"Night Love (Japan 860705)","1986","Central Denshi",-,-,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",PRELIMINARE,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
peepshow,"Nozokimeguri Mahjong Peep Show (Japan 890404)","1989",AC,mjfocus,mjfocus,-,YES,NO,NO,NO,NO,"nbmj8891.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"nbmj8891.cpp"
nuretemi,"Nurete Mitaino... - Net Idol Hen (Japan)","2000","Nichibutsu/Love Factory",nichidvd,-,-,YES,NO,NO,NO,YES,"csplayh5.cpp",PRELIMINARE,RASTER,"0",543,465,HORIZONTAL,"csplayh5.cpp"
ojankoca,"Ojanko Club (Japan, Program Ver. 1.2)","1986","V-System Co.",ojankoc,ojankoc,-,YES,NO,NO,NO,NO,ojankohs.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,ojankohs.cpp
ojankoc,"Ojanko Club (Japan, Program Ver. 1.3, set 1)","1986","V-System Co.",-,-,-,YES,NO,NO,NO,NO,ojankohs.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,ojankohs.cpp
ojankocb,"Ojanko Club (Japan, Program Ver. 1.3, set 2)","1986","V-System Co.",ojankoc,ojankoc,-,YES,NO,NO,NO,NO,ojankohs.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,ojankohs.cpp
ojankohs,"Ojanko High School (Japan)","1988","V-System Co.",-,-,-,YES,NO,NO,NO,NO,ojankohs.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,ojankohs.cpp
ojankoy,"Ojanko Yakata (Japan)","1986","V-System Co.",-,-,-,YES,NO,NO,NO,NO,ojankohs.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,ojankohs.cpp
"ojanko2","Ojanko Yakata 2bankan (Japan)","1987","V-System Co.",-,-,-,YES,NO,NO,NO,NO,ojankohs.cpp,BUONO,RASTER,"0",288,224,HORIZONTAL,ojankohs.cpp
ojousan,"Ojousan (Japan 871204)","1987",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
ojousanm,"Ojousan [BET] (Japan 870108)","1987",Nichibutsu,ojousan,ojousan,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
omotesnd,"Omotesandou (Japan 890215)","1989","Anime Tec",-,-,-,YES,NO,NO,NO,NO,"nbmj8891.cpp",BUONO,RASTER,"0",512,240,HORIZONTAL,"nbmj8891.cpp"
openmj,"Open Mahjong [BET] (Japan)","1981?","Sapporo Mechanic",royalmj,royalmj,-,YES,NO,NO,NO,NO,royalmah.cpp,BUONO,RASTER,"0",256,240,HORIZONTAL,royalmah.cpp
orangeci,"Orange Club - Maru-hi Ippatsu Kaihou [BET] (Japan 880221)","1988","Daiichi Denshi",orangec,orangec,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
orangec,"Orange Club - Maruhi Kagai Jugyou (Japan 880213)","1988","Daiichi Denshi",-,-,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
othello,"Othello (version 3.0)","1984",Success,-,-,-,YES,NO,NO,NO,NO,othello.cpp,PRELIMINARE,RASTER,"0",384,512,HORIZONTAL,othello.cpp
othldrby,"Othello Derby (Japan)","1995",Sunwise,-,-,-,YES,NO,NO,NO,NO,"toaplan2.cpp",BUONO,RASTER,"0",320,240,HORIZONTAL,"toaplan2.cpp"
othellos,"Othello Shiyouyo (J 980423 V1.002)","1998",Success,stvbios,-,-,YES,NO,NO,NO,NO,stv.cpp,INCOMPLETO,RASTER,"0",352,224,HORIZONTAL,stv.cpp
urashima,"Otogizoushi Urashima Mahjong (Japan)","1989",UPL,-,-,-,YES,NO,NO,NO,NO,jalmah.cpp,PRELIMINARE,RASTER,"0",256,224,HORIZONTAL,jalmah.cpp
otonano,"Otona no Mahjong (Japan 880628)","1988",Apple,-,-,-,YES,NO,NO,NO,NO,"nbmj8688.cpp",BUONO,RASTER,"0",512,224,HORIZONTAL,"nbmj8688.cpp"
pastelg,"Pastel Gal (Japan 851224)","1985",Nichibutsu,-,-,-,YES,NO,NO,NO,NO,pastelg.cpp,BUONO,RASTER,"0",256,224,HORIZONTAL,pastelg.cpp
"pinkiri8","Pinkiri 8","1994",Alta,-,-,-,YES,NO,NO,NO,NO,"pinkiri8.cpp",PRELIMINARE,RASTER,"0",496,256,HORIZONTAL,"pinkiri8.cpp"
pokoachu,"PokoaPoka Onsen de CHU - Bijin 3 Shimai ni Kiotsukete! (Japan)","1999",Nichibutsu/eic,nichidvd,-,-,YES,NO,NO,NO,YES,"csplayh5.cpp",PRELIMINARE,RASTER,"0",543,465,HORIZONTAL,"csplayh5.cpp"
